nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
chrisJ,Netherlands,https://www.hltv.org//stats/players/2730/chrisj,['MOUZ'],1727,45400,1085,1.04,1.01,31011,41.5,29926,3.3,0.68,0.11,0.66,0.1,0.08,68.9,1.02
aproto,United States,https://www.hltv.org//stats/players/11230/aproto,"['CLG Academy', 'Vision', 'BlackOut']",383,10053,85,1.01,1.01,7153,57.8,7068,3.2,0.71,0.11,0.7,0.1,0.13,69.8,1.03
Nodios,Denmark,https://www.hltv.org//stats/players/8891/nodios,"['Copenhagen Flames', 'x6tence']",718,19257,529,1.04,1.01,13132,53.9,12603,5.1,0.68,0.14,0.65,0.1,0.11,71.4,1.0
bedonka,Australia,https://www.hltv.org//stats/players/17402/bedonka,"['Paradox', 'SYF']",379,9815,123,1.02,1.01,6857,53.7,6734,4.1,0.7,0.14,0.69,0.09,0.09,70.5,1.07
es3tag,Denmark,https://www.hltv.org//stats/players/8611/es3tag,"['Heroic', 'Tricked']",1291,33835,784,1.03,1.01,23231,35.6,22447,5.1,0.69,0.15,0.66,0.1,0.1,71.2,1.08
Voltage,United States,https://www.hltv.org//stats/players/13228/voltage,"['The Quest', 'Triumph', 'SoaR', 'Dignitas']",420,10848,509,1.08,1.01,7099,28.5,6590,2.9,0.65,0.09,0.61,0.09,0.1,71.4,0.98
delboNi,Brazil,https://www.hltv.org//stats/players/11213/delboni,"['Imperial', 'Case', 'Yeah']",514,13313,305,1.03,1.01,9153,44.8,8848,3.5,0.69,0.13,0.66,0.1,0.11,70.4,0.98
Kylar,Poland,https://www.hltv.org//stats/players/19114/kylar,"['AVEZ', 'Anonymo']",577,15557,315,1.03,1.01,10655,58.9,10340,4.5,0.68,0.12,0.66,0.1,0.11,70.4,1.02
byali,Poland,https://www.hltv.org//stats/players/5386/byali,"['Virtus.pro', 'AVEZ']",1841,48359,1333,1.04,1.01,33745,51.6,32412,3.6,0.7,0.14,0.67,0.09,0.1,69.9,1.0
GruBy,Poland,https://www.hltv.org//stats/players/8570/gruby,"['AGO', 'AGG']",1644,43738,753,1.03,1.01,30241,42.5,29488,3.4,0.69,0.15,0.67,0.1,0.11,70.8,1.05
Zyphon,Denmark,https://www.hltv.org//stats/players/20090/zyphon,['Copenhagen Flames'],403,10629,281,1.04,1.01,7365,51.3,7084,3.1,0.69,0.12,0.67,0.1,0.11,70.9,1.04
PlesseN,Sweden,https://www.hltv.org//stats/players/9811/plessen,"['Galaxy Racer', 'Chaos', 'Japaleno', 'Red Reserve', 'fnatic Academy']",1259,33706,220,1.01,1.01,23886,54.5,23666,5.6,0.71,0.14,0.7,0.1,0.09,68.4,1.16
desi,United States,https://www.hltv.org//stats/players/8350/desi,"['Winterfox', 'Complexity', 'SKDC']",430,10986,99,1.01,1.01,7826,51.5,7727,2.9,0.71,0.13,0.7,0.09,0.1,68.9,1.07
arT,Brazil,https://www.hltv.org//stats/players/12521/art,['FURIA'],968,25108,192,1.01,1.01,17866,34.4,17674,3.7,0.71,0.14,0.7,0.1,0.07,68.4,1.28
b0RUP,Denmark,https://www.hltv.org//stats/players/9896/b0rup,"['Tricked', 'Heroic', 'MAD Lions']",1405,37152,465,1.02,1.01,25466,63.8,25001,4.6,0.69,0.11,0.67,0.1,0.1,69.7,1.06
HUGHMUNGUS,Australia,https://www.hltv.org//stats/players/12086/hughmungus,"['Chiefs', 'Legacy', 'Genuine', 'Funky Monkeys']",743,19269,474,1.04,1.01,13159,50.7,12685,4.8,0.68,0.13,0.66,0.1,0.11,70.6,1.03
tatazin,Brazil,https://www.hltv.org//stats/players/10840/tatazin,"['paiN', 'Wild', 'Yeah', 'BigGods']",760,19926,986,1.08,1.01,12958,46.3,11972,3.2,0.65,0.11,0.6,0.08,0.09,73.3,0.9
Swisher,United States,https://www.hltv.org//stats/players/16599/swisher,"['Bad News Bears', 'Yeah']",566,14759,184,1.02,1.01,10359,47.5,10175,5.4,0.7,0.15,0.69,0.1,0.11,70.4,1.1
Maikelele,Sweden,https://www.hltv.org//stats/players/1045/maikelele,"['NoChance', 'GODSENT']",1067,28134,945,1.05,1.01,18850,37.0,17905,4.8,0.67,0.14,0.64,0.09,0.09,70.3,1.03
Lekr0,Sweden,https://www.hltv.org//stats/players/9261/lekr0,"['Dignitas', 'NIP', 'fnatic', 'GODSENT']",1302,34804,774,1.03,1.01,24036,51.5,23262,3.9,0.69,0.14,0.67,0.09,0.09,70.4,1.05
mitch,United States,https://www.hltv.org//stats/players/10470/mitch,"['Selfless', 'Bad News Bears', 'Dignitas', 'Riot Squad']",807,20719,632,1.05,1.01,14179,44.4,13547,4.0,0.68,0.14,0.65,0.1,0.11,72.1,1.05
